GUID,AIRTIME,ARTIST,TRACK
77946392-33bf-43e9-814d-e1f5e9fd7fa4,P!nk,Raise Your Glass,2022-07-06T14:35:39+02:00
400c69b6-5ada-495a-4a41-beebe465b4f6,Robin Schulz & Dennis Lloyd,Young Right Now,2022-07-06T14:32:44+02:00
6ed642d6-64eb-42eb-eccf-da7f8ca69e13,Michael Patrick Kelly,Throwback,2022-07-06T14:30:21+02:00
e10a1cfb-5354-45cc-bfbe-1370cc1827b7,Alannah Myles,Black Velvet,2022-07-06T14:20:57+02:00
08fc9d92-2815-4e5d-bd49-3dae901c332e,Loud Luxury,Body (feat. brando),2022-07-06T14:18:16+02:00
83778084-d670-413f-3886-80103f8b8262,Jaymes Young,Infinity,2022-07-06T14:14:18+02:00
4f90a023-a6d9-4d50-679e-16e7b36ef5a4,Kygo x DNCE,Dancing Feet,2022-07-06T14:09:23+02:00
b9f0fa09-aa62-4049-b44c-ffce53bd8d38,OneRepublic,Secrets,2022-07-06T14:05:18+02:00
4d0cbb9f-a6ca-47fd-2266-cad24bd523e3,Shouse,Love Tonight,2022-07-06T14:01:57+02:00
b6524a11-8f17-4f48-6ed7-1a5e15fe79cf,Harry Styles,As It Was,2022-07-06T13:59:19+02:00
11c081ce-0fb2-46a8-db0c-4a2ec24cce88,Puff Daddy & Faith Evans,I'll Be Missing You (feat. 112),2022-07-06T13:47:22+02:00
df5a04b4-5cb9-411d-ce6e-297473e4e6f9,SAINt JHN,Roses (Imanbek Remix),2022-07-06T13:44:52+02:00
87444095-eec7-4942-85fc-1b6ff978f4d0,Zara Larsson,Lush Life,2022-07-06T13:41:34+02:00
90618918-fc0e-42aa-6675-90a6dc5183ce,iann dior,let you,2022-07-06T13:38:58+02:00
b9f92318-0277-4587-4784-b99b6b152543,Adele,Set Fire to the Rain,2022-07-06T13:32:51+02:00
90919f3d-b2e9-4ad1-c218-91d228a99aed,Alle Farben,Alright (feat. KIDDO),2022-07-06T13:30:06+02:00
1da46efc-cabd-4c13-003b-fcb7ab0e5ba4,Ed Sheeran,Shivers,2022-07-06T13:26:31+02:00
0af8c0ed-2c6b-4830-aaa7-8e0d1a980b1a,Bon Jovi,It's My Life,2022-07-06T13:18:17+02:00
3c0a19c5-ce09-490c-95af-15d03b5507f2,Lost Frequencies,Reality (feat. Janieck Devy),2022-07-06T13:15:40+02:00
8d591381-c5f1-4aa2-ccd2-bf1ae0c5e390,Leony,Remedy,2022-07-06T13:13:10+02:00
84dbe46a-067a-46ad-7160-1055d0a388c7,Michael Schulte,With You,2022-07-06T13:10:01+02:00
5666a942-11e5-4cf6-299d-94b3468ba4aa,Jupiter Jones,Still,2022-07-06T13:04:59+02:00
9d15e474-8e22-4ded-8120-c641353fcbbb,David Guetta & Sia,Let's Love,2022-07-06T13:01:29+02:00
94bf17d1-bdab-4043-b412-9b87e30a2e99,Shawn Mendes,When You're Gone,2022-07-06T12:58:36+02:00
a5d91a6a-c2d0-4c72-97f9-4c5fe398ee14,Desireless,Voyage voyage,2022-07-06T12:47:39+02:00
0b2a2151-b607-4022-6f20-74d6d05e6a0c,Meduza & Hozier,Tell It To My Heart,2022-07-06T12:44:57+02:00
40fdde06-f243-4d86-4e25-12d9bd90e84b,Mark Forster,Au revoir (feat. Sido),2022-07-06T12:41:39+02:00
b8b0e401-6c05-4084-3a77-d533b51a1bfe,"Topic, Robin Schulz, Nico Santos & Paul van Dyk",In Your Arms (For An Angel),2022-07-06T12:39:12+02:00
0e327b53-01b0-4285-2802-3a83a7b9db57,Keri Hilson,I Like,2022-07-06T12:33:39+02:00
c4c01bc8-4a90-48be-698b-501b107a7b42,Glockenbach,Brooklyn (feat. ClockClock),2022-07-06T12:30:42+02:00
f075fcc9-69b7-4474-03de-a7dd220d2f69,Zoe Wees,Girls Like Us,2022-07-06T12:27:31+02:00
123e95d8-ecc4-4d66-1b1c-2e5564138ab9,Nelly Furtado,Maneater,2022-07-06T12:19:05+02:00
98dfaaf6-9bad-423c-21eb-d3789cfc8c57,Fritz Kalkbrenner,Back Home,2022-07-06T12:15:50+02:00
65c8ae97-392b-4464-6c01-5f1ed6bf26ad,Lil Nas X,THATS WHAT I WANT,2022-07-06T12:13:18+02:00
5b4b1fe6-43ee-457e-f175-023640f43624,Alvaro Soler & Topic,Solo Para Ti,2022-07-06T12:09:21+02:00
efd798f2-45ed-443e-fa21-2c2cf9ded5f5,Cassandra Steen,Stadt,2022-07-06T12:06:16+02:00
8654e609-52b3-40f2-9d16-f8d5ee5a778b,Tom Gregory,Footprints,2022-07-06T12:02:24+02:00
b890bb5a-4c43-4e94-014d-5253a0523495,Elton John & Dua Lipa,Cold Heart (PNAU Remix),2022-07-06T11:59:14+02:00
64b8b7d8-ec7d-4879-2a3c-834ed5e7e663,Bryan Adams,Please Forgive Me,2022-07-06T11:47:55+02:00
c3ce9ccd-b0e5-4323-967e-5f00410b1cc3,Kygo,Stole the Show (feat. Parson James),2022-07-06T11:44:10+02:00
70d60df1-5591-404b-5d42-5ba8a3d04975,Tom Grennan,Little Bit of Love,2022-07-06T11:40:29+02:00
5069e6d7-570b-4f68-1ab2-79a9984629a1,Purple Disco Machine & Sophie and the Giants,In The Dark,2022-07-06T11:37:21+02:00
fe995879-62ea-49fd-3e83-d6411c875f8a,Leona Lewis,Bleeding Love,2022-07-06T11:31:58+02:00
d196998c-18b9-4ae4-5e0a-c1d3b0af9cb7,OneRepublic,West Coast,2022-07-06T11:28:47+02:00
d827be3a-46f3-4f65-953a-26e9ea6afe51,Joel Corry,Head & Heart (feat. MNEK),2022-07-06T11:26:00+02:00
2da7336a-cfdb-4584-03df-6050268ad3ab,Christina Aguilera,Genie in a Bottle,2022-07-06T11:17:18+02:00
75749a6a-e071-404b-bb8f-65601409822e,ClockClock,Sorry,2022-07-06T11:14:25+02:00
661118e2-8f0e-4240-b16e-711821d0e19b,Milky Chance,Synchronize,2022-07-06T11:10:33+02:00
612880ed-3d81-4343-e39e-4ce5226f9ac6,Stefanie Heinzmann,My Man Is a Mean Man,2022-07-06T11:06:38+02:00
f2bb27eb-c689-4338-08a4-6f5b1f2b0458,Max Giesinger,Die Reise,2022-07-06T11:02:46+02:00
7779458f-d8f8-46fa-16fe-cb90e13fe7a2,Alesso & Katy Perry,When I'm Gone,2022-07-06T11:00:11+02:00
a448aa5f-acfd-47e3-ebc1-7358e5b730f6,Backstreet Boys,Quit Playing Games (With My Heart),2022-07-06T10:48:05+02:00
18ee8afa-6d7a-4d32-1087-1fbbda5a4de5,Alle Farben,Please Tell Rosie (feat. YOUNOTUS),2022-07-06T10:45:17+02:00
393eec0b-79b6-4f41-13d9-7203e3e7095c,Jason Derulo & Nuka,Love Not War (The Tampa Beat),2022-07-06T10:42:08+02:00
202d1853-39bd-41f3-7c6a-80df5e24e67a,Rihanna,We Found Love (feat. Calvin Harris),2022-07-06T10:37:35+02:00
83778084-d670-413f-3886-80103f8b8262,Jaymes Young,Infinity,2022-07-06T10:33:51+02:00
caaa3a1c-2e10-4eb0-1629-dec8f4204ec3,LA Vision & Gigi D'Agostino,Hollywood,2022-07-06T10:28:46+02:00
3562bb88-88b6-44f5-9c7a-860830304fed,Die Ärzte,Westerland,2022-07-06T10:25:14+02:00
211bacac-1ce7-4dc6-6791-ff78119fd60a,Michael Patrick Kelly,Blurry Eyes,2022-07-06T10:21:43+02:00
5ffc96fa-714a-493a-44be-d8fd51fcce28,Imany,Don't Be So Shy (Filatov & Karas Remix),2022-07-06T10:18:38+02:00
14f1280d-b8de-47a2-6823-6964850115de,Ofenbach x Ella Henderson,Hurricane,2022-07-06T10:16:01+02:00
989eb284-3839-4750-16e5-63dce29cf7dc,Shakira,Waka Waka (This Time for Africa) (feat. Freshlyground),2022-07-06T10:12:34+02:00
0723c105-3266-4a3d-aed5-5468a0fdf9a0,Imagine Dragons,Follow You,2022-07-06T10:09:42+02:00
7dc98ba7-a990-4ca8-f349-4e923c5c1118,KAMRAD,I Believe,2022-07-06T10:07:07+02:00
7c487838-cf02-4326-a28f-29c6fc4ab08b,Kungs & Cookin' On 3 Burners,This Girl,2022-07-06T10:03:50+02:00
05cff18b-77bf-40d9-9f6a-b378134ee167,Jax Jones & MNEK,Where Did You Go?,2022-07-06T10:00:55+02:00
6df2fbb6-9749-4cd3-b053-eeeb1b815a3f,Sixpence None the Richer,Kiss Me,2022-07-06T09:47:33+02:00
b10fd47b-ed58-475e-01a8-46324f5d40c5,Ed Sheeran,I See Fire,2022-07-06T09:43:25+02:00
6f098444-1000-4bd3-5b28-615358d17205,The Kid LAROI & Justin Bieber,Stay,2022-07-06T09:41:04+02:00
fa3f155d-5866-4dca-50fa-9b3ac85a7d74,Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",2022-07-06T09:37:35+02:00
90618918-fc0e-42aa-6675-90a6dc5183ce,iann dior,let you,2022-07-06T09:35:03+02:00
48188b3e-8ecd-4687-1ef8-39ec492de264,The Weeknd,Blinding Lights,2022-07-06T09:31:48+02:00
aa42d541-ecc4-496b-b424-e0be0397761d,Lady Gaga,Bad Romance,2022-07-06T09:24:46+02:00
0bae4523-a871-4996-b864-bfeb2b6b3d3d,Malik Harris,Rockstars,2022-07-06T09:21:58+02:00
964b6d89-848f-4511-b435-7300e20567e9,Justin Timberlake,Can't Stop The Feeling!,2022-07-06T09:18:04+02:00
eb94c714-145a-41ea-ef73-aaaa790a28d9,Rea Garvey & VIZE,The One,2022-07-06T09:15:12+02:00
911ce949-6409-4ad5-29db-0b53e8a9660e,Robbie Williams,Feel,2022-07-06T09:11:30+02:00
8d591381-c5f1-4aa2-ccd2-bf1ae0c5e390,Leony,Remedy,2022-07-06T09:09:09+02:00
c3cb2e1f-d765-4a94-71a1-6a4a39f3469f,Gestört aber GeiL x Anna Grey,Thank You,2022-07-06T09:05:39+02:00
0a4cb1db-b74a-43d2-2e47-f776650ea87e,George Ezra,Shotgun,2022-07-06T09:02:14+02:00
8ad648ff-9ee8-4154-cf20-a57ac13cf4f2,Lost Frequencies & Calum Scott,Where Are You Now,2022-07-06T08:59:48+02:00
16f8467d-481b-4f08-9f03-f74eea37e42f,Coldplay X BTS,My Universe,2022-07-06T08:49:01+02:00
b8b0e401-6c05-4084-3a77-d533b51a1bfe,"Topic, Robin Schulz, Nico Santos & Paul van Dyk",In Your Arms (For An Angel),2022-07-06T08:46:33+02:00
cfffe783-a31b-49bb-38a5-2bb8243608b9,P!nk,Who Knew,2022-07-06T08:43:14+02:00
